id,success,n_itineraries,duration,walkDistance,transfers,transitTime,waitingTime,modes
914,True,3,1963,1013.1885864537558,0,1120,2,"[['WALK', 578, 708], ['TRAM', 1120, 4897], ['WALK', 263, 303]]"
915,True,3,1546,819.6621127708188,0,861,2,"[['WALK', 328, 397], ['TRAM', 861, 3300], ['WALK', 355, 421]]"
916,True,3,764,640.5381052521194,0,222,2,"[['WALK', 435, 521], ['TRAM', 222, 903], ['WALK', 105, 118]]"
917,True,3,1569,665.7805037496697,1,889,123,"[['WALK', 167, 189], ['TRAM', 822, 3108], ['WALK', 120, 156], ['SUBWAY', 67, 767], ['WALK', 270, 320]]"
918,True,3,942,545.9028571334076,0,477,2,"[['WALK', 281, 335], ['TRAM', 477, 1814], ['WALK', 182, 209]]"
919,True,3,1964,855.3413157805577,1,1099,174,"[['WALK', 169, 210], ['BUS', 697, 2523], ['WALK', 206, 271], ['TRAM', 402, 1775], ['WALK', 316, 373]]"
920,True,3,1317,982.8592781838312,0,503,2,"[['WALK', 134, 158], ['TRAM', 503, 1729], ['WALK', 678, 823]]"
921,True,3,1042,895.453263141591,0,280,2,"[['WALK', 408, 489], ['TRAM', 280, 927], ['WALK', 352, 405]]"
922,True,3,1478,1291.6851954781325,0,417,2,"[['WALK', 552, 698], ['TRAM', 417, 1467], ['WALK', 507, 592]]"
923,True,3,1520,761.331533830923,0,907,2,"[['WALK', 408, 517], ['TRAM', 907, 3509], ['WALK', 203, 243]]"
924,True,3,533,312.25374435452164,0,262,2,"[['WALK', 255, 294], ['TRAM', 262, 1029], ['WALK', 14, 17]]"
925,True,3,932,476.013263149658,0,522,2,"[['WALK', 256, 298], ['TRAM', 522, 2425], ['WALK', 152, 177]]"
926,True,3,1795,797.1643684162976,1,1140,21,"[['WALK', 278, 344], ['TRAM', 822, 3694], ['WALK', 55, 69], ['TRAM', 318, 1347], ['WALK', 301, 382]]"
927,True,3,1723,1010.3599999887064,1,660,234,"[['WALK', 136, 154], ['TRAM', 365, 1888], ['WALK', 60, 76], ['SUBWAY', 295, 3560], ['WALK', 633, 778]]"
928,True,3,641,655.5604360797566,0,91,2,"[['WALK', 456, 552], ['TRAM', 91, 368], ['WALK', 92, 103]]"
929,True,3,2460,254.90641353172387,1,2025,226,"[['WALK', 160, 198], ['BUS', 480, 3039], ['WALK', 5, 3], ['BUS', 1545, 7187], ['WALK', 44, 52]]"
930,True,3,1401,469.2896766797686,0,987,2,"[['WALK', 233, 268], ['TRAM', 987, 3281], ['WALK', 179, 200]]"
931,True,3,1733,391.0110601463729,1,1330,80,"[['WALK', 108, 136], ['TRAM', 1002, 3659], ['TRAM', 328, 1243], ['WALK', 215, 254]]"
932,True,1,417,523.0506917268489,0,0,0,"[['WALK', 417, 522]]"
