#time	id	x[m]	y[m]	speed[m/s]	heading	acc[m/s^2]
11.00	10637	202.41	0.00	14.74		0.00	0.06
11.00	10638	172.06	1.00	15.13		0.00	0.16
11.00	10656	140.54	2.00	14.33		0.00	0.14
11.00	10732	97.87	0.00	13.79		0.00	-0.01
11.00	10814	51.82	1.00	12.24		0.00	-0.12
11.00	10915	2.50	2.00	12.50		0.00	0.00
12.00	10624	680.90	2.00	16.68		0.00	-0.01
12.00	10639	640.71	2.00	15.10		0.00	0.12
12.00	10625	634.70	0.00	14.91		0.00	-0.07
12.00	10626	603.26	1.00	15.19		0.00	-0.02
12.00	10627	567.80	2.00	15.06		0.00	-0.30
12.00	10628	531.62	0.00	14.84		0.00	-0.25
12.00	10640	526.61	2.13	12.93		-0.02	-0.15
12.00	10629	496.57	1.00	14.83		0.00	-0.22
12.00	10630	472.21	2.00	15.88		0.00	-0.35
12.00	10631	424.78	0.00	14.47		0.00	0.00
12.00	10632	396.01	1.00	15.37		0.00	-0.20
12.00	10633	367.49	2.00	16.17		0.00	-0.22
12.00	10634	323.88	0.00	15.01		0.00	-0.03
12.00	10635	295.26	1.00	15.87		0.00	0.05
12.00	10636	254.13	2.00	14.86		0.00	-0.27
12.00	10637	217.10	0.00	14.64		0.00	-0.16
12.00	10638	187.15	1.00	15.02		0.00	-0.10
12.00	10656	154.93	2.00	14.48		0.00	0.10
12.00	10732	111.68	0.00	13.81		0.00	-0.03
12.00	10814	64.07	1.00	12.24		0.00	0.04
12.00	10915	14.95	2.00	12.44		0.00	0.12
13.00	10639	655.88	2.00	15.21		0.00	0.19
13.00	10625	649.60	0.00	14.80		0.00	-0.22
13.00	10626	618.43	1.00	15.14		0.00	-0.03
13.00	10627	582.78	2.00	14.91		0.00	-0.24
13.00	10628	546.43	0.00	14.75		0.00	-0.06
13.00	10640	539.56	2.00	13.00		0.00	0.18
13.00	10629	511.35	1.00	14.74		0.00	-0.16
13.00	10630	488.03	2.00	15.71		0.00	-0.51
13.00	10631	439.22	0.00	14.39		0.00	-0.32
13.00	10632	411.30	1.00	15.30		0.00	0.03
13.00	10633	383.67	2.00	16.19		0.00	-0.02
13.00	10634	338.89	0.00	14.99		0.00	0.00
13.00	10635	311.16	1.00	15.92		0.00	0.11
13.00	10636	268.95	2.00	14.74		0.00	-0.20
13.00	10637	231.65	0.00	14.50		0.00	-0.09
13.00	10638	202.09	1.00	14.90		0.00	0.00
13.00	10656	169.49	2.00	14.64		0.00	0.08
13.00	10732	125.59	0.00	14.03		0.00	0.29
13.00	10814	76.25	1.00	12.13		0.00	-0.23
13.00	10915	27.35	2.00	12.32		0.00	-0.06
14.00	10639	671.16	2.00	15.37		0.00	0.21
14.00	10625	664.34	0.00	14.73		0.00	0.10
14.00	10626	633.52	1.00	15.04		0.00	-0.10
14.00	10627	597.65	2.00	14.78		0.00	-0.28
14.00	10628	561.18	0.00	14.75		0.00	0.13
14.00	10640	552.56	2.00	13.06		0.00	0.20
14.00	10629	526.06	1.00	14.71		0.00	0.11
14.00	10630	503.68	2.00	15.55		0.00	-0.01
14.00	10631	453.55	0.00	14.26		0.00	-0.26
14.00	10632	426.55	1.00	15.19		0.00	-0.16
14.00	10633	399.85	2.00	16.21		0.00	0.12
14.00	10634	353.88	0.00	14.99		0.00	0.10
14.00	10635	327.03	1.00	15.80		0.00	-0.13
14.00	10636	283.73	2.00	14.79		0.00	-0.08
14.00	10637	246.09	0.00	14.40		0.00	0.00
14.00	10638	216.95	1.00	14.85		0.00	0.13
14.00	10656	184.21	2.00	14.76		0.00	0.29
